SiteNumber, SiteName, SiteCategory, SiteAgency, SiteLongitude, SiteLatitude, SiteNWISURL
"420419080133701","ER   SP2","SP","USGS",-80.22673059,42.072002,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=420419080133701"
"415525079184401","WR SP113","SP","USGS",-79.311994,41.92366899,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=415525079184401"
"422818079103000","CU 859","SP","USGS",-79.1747624,42.4717252,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=422818079103000"
"415144079092701","WR SP127","SP","USGS",-79.1572674,41.86228167,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=415144079092701"
"415557079065601","WR  SP71","SP","USGS",-79.1153226,41.9325591,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=415557079065601"
"415559079023701","WR  SP72","SP","USGS",-79.04337569,41.9331151,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=415559079023701"
"423154079003501","CT 550","SP","USGS",-79.009481,42.53172707,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=423154079003501"
"423132078594601","CT 547","SP","USGS",-78.9958695,42.52561615,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=423132078594601"
"423026078575901","E  16","SP","USGS",-78.9661463,42.5072831,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=423026078575901"
"422818078573401","CT 526","SP","USGS",-78.959202,42.47172767,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=422818078573401"
"423128078563001","E1192","SP","USGS",-78.9414234,42.5245052,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=423128078563001"
"423132078562801","E  38","SP","USGS",-78.9408679,42.52561634,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=423132078562801"
"423202078553001","E1193","SP","USGS",-78.9247563,42.53394965,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=423202078553001"
"421621078523101","CT 558","SP","USGS",-78.8754833,42.27267778,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=421621078523101"
"421408078521001","CT 220","SP","USGS",-78.86920268,42.23561775,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=421408078521001"
"421944078520500","CT 623","SP","USGS",-78.8678125,42.32895086,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=421944078520500"
"422033078500102","CT 670","SP","USGS",-78.8333669,42.34256219,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=422033078500102"
"421652078495201","CT 557","SP","USGS",-78.8312417,42.2812722,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=421652078495201"
"422122078495200","CT 625","SP","USGS",-78.83086658,42.35617325,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=422122078495200"
"422738078470701","E1195","SP","USGS",-78.78503028,42.46061736,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=422738078470701"
"424216078465701","E1194","SP","USGS",-78.782253,42.70450416,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=424216078465701"
"422905078454301","E1191","SP","USGS",-78.7616959,42.48478396,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=422905078454301"
"422951078421001","E1190","SP","USGS",-78.7025271,42.49756187,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=422951078421001"
"423206078252900","WO 218","SP","USGS",-78.42446269,42.53506236,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=423206078252900"
"430933078243001","OL  43","SP","USGS",-78.4082111,43.1591083,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=430933078243001"
"430938078243001","OL  44","SP","USGS",-78.40815,43.16036667,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=430938078243001"
"430733078224601","GS 290","SP","USGS",-78.37943889,43.1257972,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=430733078224601"
"430733078224401","GS 291","SP","USGS",-78.3788861,43.12579444,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=430733078224401"
"430732078224101","GS 293","SP","USGS",-78.3780528,43.12550556,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=430732078224101"
"430732078224001","GS 292","SP","USGS",-78.37803889,43.12551389,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=430732078224001"
"422957078220601","CT 551","SP","USGS",-78.36843889,42.49926944,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=422957078220601"
"423014078214201","CT 553","SP","USGS",-78.3617861,42.50390278,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=423014078214201"
"423308078160101","WO  13","SP","USGS",-78.2666798,42.5522845,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=423308078160101"
"423449078152000","WO 220","SP","USGS",-78.2552907,42.5803398,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=423449078152000"
"423311078104401","WO  15","SP","USGS",-78.1786214,42.55311829,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=423311078104401"
"422822078081201","AG 291","SP","USGS",-78.1369167,42.47290278,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=422822078081201"
"422830078080801","AG 234","SP","USGS",-78.13528639,42.47506399,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=422830078080801"
"422040078065301","AG 218","SP","USGS",-78.1144532,42.3445109,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=422040078065301"
"423832078060601","WO 356","SP","USGS",-78.1017806,42.6423333,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=423832078060601"
"420547078055301","AG 295","SP","USGS",-78.0980556,42.09638889,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=420547078055301"
"420548078055301","AG 296","SP","USGS",-78.0980556,42.09666667,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=420548078055301"
"420547078053001","AG 297","SP","USGS",-78.0916667,42.09638889,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=420547078053001"
"423802078025500","WO 221","SP","USGS",-78.04834018,42.63395148,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=423802078025500"
"421804078012001","AG 182","SP","USGS",-78.0219501,42.30117897,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=421804078012001"
"421102077584101","AG 114","SP","USGS",-77.9777814,42.18395739,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=421102077584101"
"421101077583901","AG 286","SP","USGS",-77.9776,42.18379444,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=421101077583901"
"421101077583801","AG 284","SP","USGS",-77.9774972,42.1837,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=421101077583801"
"421941077561201","AG 278","SP","USGS",-77.9367,42.32820278,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=421941077561201"
"421940077561301","AG 205","SP","USGS",-77.9366688,42.32784575,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=421940077561301"
"423226077550501","LV   9","SP","USGS",-77.9177795,42.5406204,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=423226077550501"
"424330077533501","LV  90","SP","USGS",-77.8927811,42.7250626,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=424330077533501"
"425018077531301","LV 175","SP","USGS",-77.886672,42.8383954,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=425018077531301"
"415836077504701","PO   SP1","SP","USGS",-77.8461081,41.9767343,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=415836077504701"
"422912077483001","LV 141","SP","USGS",-77.8080529,42.4867335,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=422912077483001"
"420758077481301","AG 277","SP","USGS",-77.8037056,42.1328972,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=420758077481301"
"431129077480500","MO15057","SP","USGS",-77.8011194,43.19145,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=431129077480500"
"425437077472101","LV 525","SP","USGS",-77.7892667,42.91029167,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=425437077472101"
"425111077464701","LV 520","SP","USGS",-77.7798167,42.85294444,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=425111077464701"
"423943077460400","LV 279","SP","USGS",-77.7674989,42.66200908,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=423943077460400"
"422439077402801","SB 408","SP","USGS",-77.6747083,42.41108056,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=422439077402801"
"423815077354700","LV 278","SP","USGS",-77.5961042,42.63756605,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=423815077354700"
"420239077324900","SB 315","SP","USGS",-77.5466538,42.04423684,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=420239077324900"
"415613077262701","TI   SP3","SP","USGS",-77.4405382,41.9370156,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=415613077262701"
"423641077255701","OT 857","SP","USGS",-77.4325056,42.61161389,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=423641077255701"
"425857077243500","OT 262","SP","USGS",-77.4094349,42.98256338,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=425857077243500"
"423517077242201","OT 856","SP","USGS",-77.406325,42.58830278,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=423517077242201"
"425741077082000","OT 260","SP","USGS",-77.1385867,42.9614526,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=425741077082000"
"425705076455501","SE 340","SP","USGS",-76.7649533,42.9514546,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=425705076455501"
"425042076413501","CY  52","SP","USGS",-76.69272628,42.8450683,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=425042076413501"
"423233076394600","TM 292","SP","USGS",-76.6624476,42.5425717,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=423233076394600"
"425900076203500","OD 366","SP","USGS",-76.3427091,42.98339937,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=425900076203500"
"430036076202001","OD1862","SP","USGS",-76.3390833,43.01019444,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=430036076202001"
"430022076200901","OD1861","SP","USGS",-76.3359167,43.00616667,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=430022076200901"
"423607076200301","TM1132","SP","USGS",-76.3343167,42.6020972,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=423607076200301"
"425721076192701","OD1863","SP","USGS",-76.3241667,42.95588889,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=425721076192701"
"422922076175400","TM 291","SP","USGS",-76.2979887,42.48951649,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=422922076175400"
"430756076152601","OD1846","SP","USGS",-76.2567338,43.13234509,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=430756076152601"
"423328076145601","North Spring at Tunison Lab, NY","SP","USGS",-76.24888889,42.55777778,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=423328076145601"
"423321076145001","Main spring at Tunison Lab, NY","SP","USGS",-76.2472222,42.5558333,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=423321076145001"
"425623076142901","OD1845","SP","USGS",-76.2415,42.93980556,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=425623076142901"
"430416076142901","OD1840","SP","USGS",-76.2410385,43.07117779,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=430416076142901"
"425526076123401","OD1844","SP","USGS",-76.2094444,42.92377778,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=425526076123401"
"430213076111201","OD1818","SP","USGS",-76.1863144,43.0370108,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=430213076111201"
"430458076110901","OD1812","SP","USGS",-76.1854812,43.08284465,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=430458076110901"
"425614076103901","OD1841","SP","USGS",-76.177148,42.9372887,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=425614076103901"
"425725076102001","OD1923","SP","USGS",-76.1724972,42.95721944,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=425725076102001"
"04237960","OD1814","SP","USGS",-76.16352778,42.89216667,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=04237960"
"430332076094901","OD1819","SP","USGS",-76.163397,43.05864997,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=430332076094901"
"425323076094701","OD1937","SP","USGS",-76.16313889,42.88991667,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=425323076094701"
"430040076093901","OD1817","SP","USGS",-76.1604803,43.0111772,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=430040076093901"
"425903076093101","OD1815","SP","USGS",-76.1582581,42.9842328,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=425903076093101"
"425238076092001","OD1808","SP","USGS",-76.1553056,42.87638889,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=425238076092001"
"425211076091201","OD1933","SP","USGS",-76.1533333,42.8697222,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=425211076091201"
"424821076084701","OD1936","SP","USGS",-76.14638889,42.80588889,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=424821076084701"
"424830076084501","OD 477","SP","USGS",-76.1454816,42.8084007,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=424830076084501"
"424830076084401","OD 476","SP","USGS",-76.1452039,42.8084007,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=424830076084401"
"425111076083101","OD1857","SP","USGS",-76.1415922,42.8531226,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=425111076083101"
"425117076083001","OD 466","SP","USGS",-76.1413144,42.85478929,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=425117076083001"
"425138076082601","OD1938","SP","USGS",-76.1405556,42.86069444,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=425138076082601"
"425116076082701","OD1856","SP","USGS",-76.140481,42.8545115,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=425116076082701"
"425119076082301","OD1930","SP","USGS",-76.13975,42.85541667,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=425119076082301"
"425121076082201","OD1929","SP","USGS",-76.1396944,42.8558333,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=425121076082201"
"425113076082401","OD1855","SP","USGS",-76.1396477,42.85367818,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=425113076082401"
"425118076082101","OD1931","SP","USGS",-76.1393333,42.85525,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=425118076082101"
"425319076083601","OD 621","SP","USGS",-76.13931389,42.87693889,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=425319076083601"
"425120076082201","OD1813","SP","USGS",-76.1390921,42.8556226,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=425120076082201"
"425130076082001","OD1858","SP","USGS",-76.1385365,42.85840037,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=425130076082001"
"425131076082001","OD 431","SP","USGS",-76.1385365,42.85867814,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=425131076082001"
"425839076081801","OD1842","SP","USGS",-76.13786868,42.97756619,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=425839076081801"
"430020076081701","OD1816","SP","USGS",-76.13770179,43.00562165,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=430020076081701"
"425822076081601","OD1838","SP","USGS",-76.1373687,42.9728162,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=425822076081601"
"425304076080701","OD1911","SP","USGS",-76.13527778,42.88471944,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=425304076080701"
"424853076075701","OD 475","SP","USGS",-76.13214788,42.81478955,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=424853076075701"
"424931076075502","OD1939","SP","USGS",-76.13202778,42.82544444,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=424931076075502"
"424931076075501","OD1934","SP","USGS",-76.13202778,42.8254722,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=424931076075501"
"424954076074701","OD1935","SP","USGS",-76.1298611,42.83180556,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=424954076074701"
"424820076073501","OD1915","SP","USGS",-76.12638889,42.80555556,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=424820076073501"
"430145076003700","OD 368","SP","USGS",-76.00992,43.02923315,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=430145076003700"
"430005075584100","OD 367","SP","USGS",-75.9776966,43.00145516,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=430005075584100"
"415442075515101","SQ   SP6","SP","USGS",-75.8640556,41.91177778,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=415442075515101"
"424608075441700","M 212","SP","USGS",-75.7376879,42.76895607,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=424608075441700"
"421017075321801","BM2900","SP","USGS",-75.5385306,42.1714861,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=421017075321801"
"415203075311801","SQ   SP4","SP","USGS",-75.52129309,41.8675823,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=415203075311801"
"415145075311501","SQ   SP1","SP","USGS",-75.5204599,41.86258235,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=415145075311501"
"425416075304601","M 305","SP","USGS",-75.5128694,42.90454167,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=425416075304601"
"415122075304201","SQ   SP5","SP","USGS",-75.5112931,41.8561936,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=415122075304201"
"415350075280001","WN   SP2","SP","USGS",-75.46629068,41.89730564,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=415350075280001"
"425733075242201","OE 157","SP","USGS",-75.4057268,42.95923639,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=425733075242201"
"423231075143101","OG 398","SP","USGS",-75.2422083,42.5421222,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=423231075143101"
"415800075101801","D 567","SP","USGS",-75.1718,41.96684167,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=415800075101801"
"425808075081001","HE 420","SP","USGS",-75.1357155,42.9689593,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=425808075081001"
"425536075075401","HE 477","SP","USGS",-75.131271,42.92673756,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=425536075075401"
"425902075073801","HE 431","SP","USGS",-75.1268263,42.98395917,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=425902075073801"
"425851075073101","HE 429","SP","USGS",-75.1248818,42.98090365,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=425851075073101"
"425615075071901","HE 396","SP","USGS",-75.1215485,42.9375708,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=425615075071901"
"425557075071701","HE 478","SP","USGS",-75.120993,42.93257087,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=425557075071701"
"425413075065301","HE  10","SP","USGS",-75.1143262,42.9036823,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=425413075065301"
"425605075065101","HE 392","SP","USGS",-75.1137705,42.93479309,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=425605075065101"
"425953075062301","HE 635","SP","USGS",-75.1059923,42.9981257,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=425953075062301"
