SiteNumber, SiteName, SiteCategory, SiteAgency, SiteLongitude, SiteLatitude, SiteNWISURL
"391530080220001"," Har-0073S","SP","USGS",-80.36647958,39.25842325,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=391530080220001"
"392200080212901"," Har-0147S","SP","USGS",-80.3578666,39.36675404,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=392200080212901"
"391253080210401"," Har-0037S","SP","USGS",-80.35092318,39.2148133,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=391253080210401"
"380552080205701"," Grb-0261S","SP","USGS",-80.3489651,38.09789629,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=380552080205701"
"380200080202501"," Grb-0255S","SP","USGS",-80.3400753,38.03345295,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=380200080202501"
"383220080201001"," Web-0218","SP","USGS",-80.3359127,38.53899697,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=383220080201001"
"380400080193001"," Grb-0260S","SP","USGS",-80.3247972,38.06678587,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=380400080193001"
"392357080174401"," Har-0160S","SP","USGS",-80.2953641,39.39925327,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=392357080174401"
"380355080174001"," Grb-0259S","SP","USGS",-80.2942404,38.0653972,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=380355080174001"
"391648080164501"," Har-0088S","SP","USGS",-80.2789766,39.2800899,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=391648080164501"
"392634080162101"," Mar-0028S","SP","USGS",-80.2723071,39.44286316,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=392634080162101"
"385538080153101"," Ups-0100S","SP","USGS",-80.258416,38.9273218,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=385538080153101"
"380645080151501"," Poc-0145(Locust Creek Spring)","SP","USGS",-80.25396129,38.1126191,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=380645080151501"
