SiteNumber, SiteName, SiteCategory, SiteAgency, SiteLongitude, SiteLatitude, SiteNWISURL
"394830080193701","GRSP1954","SP","USGS",-80.3267377,39.80841135,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=394830080193701"
"395708080193701","GRSP1204","SP","USGS",-80.32673289,39.9522968,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=395708080193701"
"394527080193101","GRSP2000","SP","USGS",-80.3250727,39.75757919,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=394527080193101"
"395041080192801","GRSP1904","SP","USGS",-80.3242364,39.8447993,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=395041080192801"
"395954080192701","GRSP1221","SP","USGS",-80.32395349,39.9984068,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=395954080192701"
"394328080192501","GRSP2006","SP","USGS",-80.3234076,39.72452426,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=394328080192501"
"395928080192401","GRSP1222","SP","USGS",-80.3231204,39.99118474,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=395928080192401"
"400016080191701","GRSP1220","SP","USGS",-80.3211755,40.0045178,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=400016080191701"
"394938080191601","GRSP1902","SP","USGS",-80.3209036,39.82729969,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=394938080191601"
"393951080191501"," Mng-0380S","SP","USGS",-80.3206328,39.66424757,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=393951080191501"
"395231080191401","GRSP1343","SP","USGS",-80.3203464,39.8753541,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=395231080191401"
"394324080191201","GRSP2007","SP","USGS",-80.3197964,39.7234131,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=394324080191201"
"394928080191201","GRSP1903","SP","USGS",-80.3197926,39.82452196,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=394928080191201"
"395819080191101","GRSP1225","SP","USGS",-80.3195098,39.97201849,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=395819080191101"
"395232080191001","GRSP1345","SP","USGS",-80.3192353,39.87563187,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=395232080191001"
"395201080190301","GRSP1309","SP","USGS",-80.317291,39.8670209,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=395201080190301"
"394403080185801","GRSP2005","SP","USGS",-80.3159069,39.73424617,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=394403080185801"
"393653080185501"," Mng-0159S","SP","USGS",-80.3150796,39.614804,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=393653080185501"
"394401080185201","GRSP2004","SP","USGS",-80.3142402,39.73369059,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=394401080185201"
"395025080185001","GRSP1959","SP","USGS",-80.3136808,39.8403548,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=395025080185001"
"395151080184201","GRSP1310","SP","USGS",-80.31145769,39.8642431,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=395151080184201"
"395529080183801","GRSP1319","SP","USGS",-80.3103445,39.92479727,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=395529080183801"
"393836080183701"," Mng-0282S","SP","USGS",-80.31007799,39.6434145,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=393836080183701"
"395134080183301","GRSP1401","SP","USGS",-80.30895779,39.85952098,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=395134080183301"
"395630080182401","GRSP1154","SP","USGS",-80.3064549,39.94174128,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=395630080182401"
"395816080182201","GRSP1148","SP","USGS",-80.3058984,39.97118504,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=395816080182201"
"395928080181901","GRSP1146","SP","USGS",-80.3050643,39.99118457,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=395928080181901"
"395739080181501","GRSP1101","SP","USGS",-80.3039542,39.96090748,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=395739080181501"
"395745080181101","GRSP1100","SP","USGS",-80.302843,39.9625741,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=395745080181101"
"395813080181101","GRSP1149","SP","USGS",-80.3028428,39.9703517,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=395813080181101"
"395958080181101","GRSP1178","SP","USGS",-80.3028418,39.9995177,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=395958080181101"
"395939080181001","GRSP1106","SP","USGS",-80.3025642,39.99424,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=395939080181001"
"393115080180901"," Mar-0133S","SP","USGS",-80.3023061,39.5209168,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=393115080180901"
"395737080180901","GRSP1102","SP","USGS",-80.3022875,39.9603519,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=395737080180901"
"395912080180801","GRSP1147","SP","USGS",-80.3020089,39.9867402,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=395912080180801"
"395729080180701","GRSP1103","SP","USGS",-80.301732,39.95812974,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=395729080180701"
"395940080180701","GRSP1107","SP","USGS",-80.3017308,39.9945178,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=395940080180701"
"395100080180601","GRSP1316","SP","USGS",-80.3014579,39.85007665,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=395100080180601"
"395202080180401","GRSP1311","SP","USGS",-80.3009018,39.86729847,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=395202080180401"
"395906080180401","GRSP1145","SP","USGS",-80.3008978,39.98507356,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=395906080180401"
"395158080180301","GRSP1312","SP","USGS",-80.300624,39.86618738,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=395158080180301"
