SiteNumber, SiteName, SiteCategory, SiteAgency, SiteLongitude, SiteLatitude, SiteNWISURL
"412250079490301","VE   SP4","SP","USGS",-79.8172764,41.38061397,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=412250079490301"
"412615079484001","VE   SP5","SP","USGS",-79.8108881,41.4375579,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=412615079484001"
"410555079405601","AR   SP1","SP","USGS",-79.6819933,41.09867347,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=410555079405601"
"411329079402801","WR SP111","SP","USGS",-79.674216,41.22478317,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=411329079402801"
"411348079370401","CR  SP38","SP","USGS",-79.6175485,41.2300611,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=411348079370401"
"410646079353301","CR  SP28","SP","USGS",-79.5922695,41.1128403,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=410646079353301"
"410349079332201","CR  SP22","SP","USGS",-79.55587958,41.0636743,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=410349079332201"
"410722079331501","CR  SP29","SP","USGS",-79.5539356,41.1228403,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=410722079331501"
"414325079325501","WR SP135","SP","USGS",-79.53893919,41.72255946,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=414325079325501"
"410044079320301","CR  SP42","SP","USGS",-79.5339343,41.012286,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=410044079320301"
"410012079315301","CR  SP23","SP","USGS",-79.5311564,41.00339725,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=410012079315301"
"411722079303801","CR   SP8","SP","USGS",-79.5103249,41.28950589,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=411722079303801"
"410448079294901","CR  SP20","SP","USGS",-79.4967119,41.0800632,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=410448079294901"
"410903079294301","             SEEP-17","SP","USGS",-79.4950459,41.1508958,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=410903079294301"
"410918079294302","             SEEP 2","SP","USGS",-79.4950459,41.15506245,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=410918079294302"
"410909079294201","             DRAIN 1","SP","USGS",-79.4947681,41.15256248,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=410909079294201"
"410924079293701","             DRAIN 3","SP","USGS",-79.4933792,41.1567291,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=410924079293701"
"410927079293101","             DRAIN 4","SP","USGS",-79.4917125,41.15756245,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=410927079293101"
"410925079292801","             SEEP 3","SP","USGS",-79.4908792,41.1570069,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=410925079292801"
"410925079292701","             SEEP 4","SP","USGS",-79.49060138,41.1570069,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=410925079292701"
"410926079292401","             SEEP 16","SP","USGS",-79.489768,41.1572847,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=410926079292401"
"410925079292301","             SEEP 16A","SP","USGS",-79.4894902,41.1570069,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=410925079292301"
"413935079291101","WR  SP51","SP","USGS",-79.48616,41.6597826,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=413935079291101"
"414140079283901","WR SP050","SP","USGS",-79.4772714,41.69450447,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=414140079283901"
"410938079275801","CR  SP19-1","SP","USGS",-79.4658786,41.1606182,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=410938079275801"
"414255079272201","WR  SP70","SP","USGS",-79.4558824,41.71533764,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=414255079272201"
"414024079271601","WR SP126","SP","USGS",-79.4542152,41.67339366,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=414024079271601"
