SiteNumber, SiteName, SiteCategory, SiteAgency, SiteLongitude, SiteLatitude, SiteNWISURL
"420419080133701","ER   SP2","SP","USGS",-80.22673059,42.072002,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=420419080133701"
"422818079103000","CU 859","SP","USGS",-79.1747624,42.4717252,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=422818079103000"
"423154079003501","CT 550","SP","USGS",-79.009481,42.53172707,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=423154079003501"
"423132078594601","CT 547","SP","USGS",-78.9958695,42.52561615,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=423132078594601"
"423026078575901","E  16","SP","USGS",-78.9661463,42.5072831,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=423026078575901"
"422818078573401","CT 526","SP","USGS",-78.959202,42.47172767,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=422818078573401"
"423132078562801","E  38","SP","USGS",-78.9408679,42.52561634,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=423132078562801"
"421408078521001","CT 220","SP","USGS",-78.86920268,42.23561775,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=421408078521001"
"421944078520500","CT 623","SP","USGS",-78.8678125,42.32895086,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=421944078520500"
"422122078495200","CT 625","SP","USGS",-78.83086658,42.35617325,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=422122078495200"
"423206078252900","WO 218","SP","USGS",-78.42446269,42.53506236,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=423206078252900"
"430933078243001","OL  43","SP","USGS",-78.4082111,43.1591083,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=430933078243001"
"430938078243001","OL  44","SP","USGS",-78.40815,43.16036667,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=430938078243001"
"430733078224601","GS 290","SP","USGS",-78.37943889,43.1257972,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=430733078224601"
"430733078224401","GS 291","SP","USGS",-78.3788861,43.12579444,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=430733078224401"
"430732078224101","GS 293","SP","USGS",-78.3780528,43.12550556,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=430732078224101"
"430732078224001","GS 292","SP","USGS",-78.37803889,43.12551389,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=430732078224001"
"423308078160101","WO  13","SP","USGS",-78.2666798,42.5522845,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=423308078160101"
"423449078152000","WO 220","SP","USGS",-78.2552907,42.5803398,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=423449078152000"
"423311078104401","WO  15","SP","USGS",-78.1786214,42.55311829,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=423311078104401"
"422830078080801","AG 234","SP","USGS",-78.13528639,42.47506399,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=422830078080801"
"422040078065301","AG 218","SP","USGS",-78.1144532,42.3445109,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=422040078065301"
"423802078025500","WO 221","SP","USGS",-78.04834018,42.63395148,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=423802078025500"
"421804078012001","AG 182","SP","USGS",-78.0219501,42.30117897,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=421804078012001"
"421102077584101","AG 114","SP","USGS",-77.9777814,42.18395739,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=421102077584101"
"421940077561301","AG 205","SP","USGS",-77.9366688,42.32784575,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=421940077561301"
"423226077550501","LV   9","SP","USGS",-77.9177795,42.5406204,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=423226077550501"
"424330077533501","LV  90","SP","USGS",-77.8927811,42.7250626,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=424330077533501"
"425018077531301","LV 175","SP","USGS",-77.886672,42.8383954,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=425018077531301"
"415836077504701","PO   SP1","SP","USGS",-77.8461081,41.9767343,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=415836077504701"
"422912077483001","LV 141","SP","USGS",-77.8080529,42.4867335,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=422912077483001"
"431129077480500","MO15057","SP","USGS",-77.8011194,43.19145,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=431129077480500"
"423943077460400","LV 279","SP","USGS",-77.7674989,42.66200908,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=423943077460400"
"423815077354700","LV 278","SP","USGS",-77.5961042,42.63756605,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=423815077354700"
"420239077324900","SB 315","SP","USGS",-77.5466538,42.04423684,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=420239077324900"
"415613077262701","TI   SP3","SP","USGS",-77.4405382,41.9370156,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=415613077262701"
"425857077243500","OT 262","SP","USGS",-77.4094349,42.98256338,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=425857077243500"
"425741077082000","OT 260","SP","USGS",-77.1385867,42.9614526,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=425741077082000"
"425705076455501","SE 340","SP","USGS",-76.7649533,42.9514546,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=425705076455501"
"425042076413501","CY  52","SP","USGS",-76.69272628,42.8450683,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=425042076413501"
"423233076394600","TM 292","SP","USGS",-76.6624476,42.5425717,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=423233076394600"
"425900076203500","OD 366","SP","USGS",-76.3427091,42.98339937,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=425900076203500"
"430036076202001","OD1862","SP","USGS",-76.3390833,43.01019444,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=430036076202001"
"430022076200901","OD1861","SP","USGS",-76.3359167,43.00616667,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=430022076200901"
"425721076192701","OD1863","SP","USGS",-76.3241667,42.95588889,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=425721076192701"
"422922076175400","TM 291","SP","USGS",-76.2979887,42.48951649,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=422922076175400"
"430756076152601","OD1846","SP","USGS",-76.2567338,43.13234509,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=430756076152601"
"423328076145601","North Spring at Tunison Lab, NY","SP","USGS",-76.24888889,42.55777778,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=423328076145601"
"423321076145001","Main spring at Tunison Lab, NY","SP","USGS",-76.2472222,42.5558333,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=423321076145001"
"425623076142901","OD1845","SP","USGS",-76.2415,42.93980556,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=425623076142901"
"430416076142901","OD1840","SP","USGS",-76.2410385,43.07117779,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=430416076142901"
"425526076123401","OD1844","SP","USGS",-76.2094444,42.92377778,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=425526076123401"
"430213076111201","OD1818","SP","USGS",-76.1863144,43.0370108,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=430213076111201"
"430458076110901","OD1812","SP","USGS",-76.1854812,43.08284465,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=430458076110901"
"425614076103901","OD1841","SP","USGS",-76.177148,42.9372887,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=425614076103901"
"04237960","OD1814","SP","USGS",-76.16352778,42.89216667,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=04237960"
