SiteNumber, SiteName, SiteCategory, SiteAgency, SiteLongitude, SiteLatitude, SiteNWISURL
"375300080331600"," Grb-0238(Sinking Creek at Alta Spring)","SP","USGS",-80.55424689,37.8834531,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=375300080331600"
"374525080324501"," Grb-0213S","SP","USGS",-80.5456325,37.7570655,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=374525080324501"
"374354080305301"," Grb-0300s","SP","USGS",-80.51463889,37.72928056,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=374354080305301"
"364516080243401","27CS 2","SP","USGS",-80.4092294,36.7545803,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=364516080243401"
"364639082232801","27CS 1","SP","USGS",-80.3908938,36.77763525,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=364639082232801"
"375840080224001"," Grb-0249S","SP","USGS",-80.377576,37.97789787,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=375840080224001"
"364816080214401","28CS  1","SP","USGS",-80.3620018,36.80457909,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=364816080214401"
"374810080173001"," Grb-0219(Fish Hatchery Spring)","SP","USGS",-80.2914591,37.80289954,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=374810080173001"
"02054000","BIG SPRINGS AT ELLISTON, VA","SP","USGS",-80.23309829,37.2142992,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02054000"
"365548080111701","29DS  1","SP","USGS",-80.1853215,36.93124614,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=365548080111701"
"370300080064201","30ES  1","SP","USGS",-80.1186505,37.050136,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=370300080064201"
"371119080030401","30FS  1","SP","USGS",-80.0630942,37.1759696,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=371119080030401"
"02020000","KARNES SPRING NEAR BUCHANAN, VA","SP","USGS",-79.6794852,37.59874426,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02020000"
