SiteNumber, SiteName, SiteCategory, SiteAgency, SiteLongitude, SiteLatitude, SiteNWISURL
"400331079550501","WS  SP72","SP","USGS",-79.9178262,40.0586845,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=400331079550501"
"393935079545001"," Mng-0358S","SP","USGS",-79.9136716,39.6598028,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=393935079545001"
"394043079530601"," Mng-0411S","SP","USGS",-79.8847808,39.678691,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=394043079530601"
"395400079392701","FA   SP3","SP","USGS",-79.65726439,39.90007574,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=395400079392701"
"394859079355501","Fort Necessity National Battlefield spring","SP","USGS",-79.5940806,39.811125,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=394859079355501"
"393857079343801"," Pre-0147(Spring near Brandonville)","SP","USGS",-79.5769902,39.64924829,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=393857079343801"
"393122079265701","GA Ca  51","SP","USGS",-79.4489326,39.5228676,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=393122079265701"
"402949079253801","IN SP161","SP","USGS",-79.426985,40.49701077,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=402949079253801"
"403434079230301","IN SP318","SP","USGS",-79.38392909,40.57617697,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=403434079230301"
"403103079225501","IN SP307","SP","USGS",-79.3817063,40.51756637,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=403103079225501"
"403420079223801","IN SP319","SP","USGS",-79.3769845,40.57228814,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=403420079223801"
"392420079221701","GA Eb  72","SP","USGS",-79.3711546,39.40565267,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=392420079221701"
"403543079221301","IN   SP5","SP","USGS",-79.37004,40.5953435,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=403543079221301"
"395406079220201","SO SP  150","SP","USGS",-79.3675,39.90166667,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=395406079220201"
"403558079220301","IN SP251","SP","USGS",-79.3672622,40.59951016,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=403558079220301"
"403601079215801","IN SP250","SP","USGS",-79.3658733,40.60034349,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=403601079215801"
"403125079212501","IN SP308","SP","USGS",-79.35670579,40.52367756,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=403125079212501"
"393127079204601","GA Cb  51","SP","USGS",-79.3458734,39.5242571,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=393127079204601"
"403258079202801","IN SP286","SP","USGS",-79.34087229,40.5495107,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=403258079202801"
"403248079202701","IN SP330","SP","USGS",-79.34059449,40.54673298,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=403248079202701"
"403428079201201","IN SP273","SP","USGS",-79.336428,40.5745105,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=403428079201201"
"403418079200401","IN SP272","SP","USGS",-79.3342057,40.57173277,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=403418079200401"
"400149079191401","FA  SP10","SP","USGS",-79.3194444,40.0297222,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=400149079191401"
"400053079185901","FA   SP9","SP","USGS",-79.31638889,40.0147222,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=400053079185901"
"403647079185001","IN SP310","SP","USGS",-79.31365,40.61312134,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=403647079185001"
"395119079185401","SO SP  153","SP","USGS",-79.3127778,39.8508333,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=395119079185401"
"395354079184301","SO SP  151","SP","USGS",-79.3119444,39.8983333,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=395354079184301"
"393252079183501","GA Cc  13","SP","USGS",-79.3094827,39.54786718,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=393252079183501"
"400204079182801","FA   SP8","SP","USGS",-79.3075332,40.034519,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=400204079182801"
"400214079180501","FA   SP7","SP","USGS",-79.3011442,40.03729678,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=400214079180501"
"393907079180201","GA Bc  24","SP","USGS",-79.3003134,39.65202818,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=393907079180201"
"403615079175801","IN SP257","SP","USGS",-79.2992051,40.60423259,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=403615079175801"
"403431079175101","IN SP154","SP","USGS",-79.2972604,40.575344,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=403431079175101"
"403614079175001","IN SP258","SP","USGS",-79.2969828,40.6039548,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=403614079175001"
"403608079174401","IN SP256","SP","USGS",-79.2953161,40.60228818,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=403608079174401"
"394352079173801","SO SP   14","SP","USGS",-79.2936447,39.73119057,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=394352079173801"
"394353079173501","SO SP   15","SP","USGS",-79.2928113,39.7314683,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=394353079173501"
"394357079173201","SO SP   16","SP","USGS",-79.2919779,39.73257939,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=394357079173201"
"395919079173101","SO SP  149","SP","USGS",-79.2919444,39.9886111,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=395919079173101"
"394358079172701","SO SP   17","SP","USGS",-79.290589,39.73285717,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=394358079172701"
