SiteNumber, SiteName, SiteCategory, SiteAgency, SiteLongitude, SiteLatitude, SiteNWISURL
"412250079490301","VE   SP4","SP","USGS",-79.8172764,41.38061397,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=412250079490301"
"412615079484001","VE   SP5","SP","USGS",-79.8108881,41.4375579,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=412615079484001"
"411348079370401","CR  SP38","SP","USGS",-79.6175485,41.2300611,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=411348079370401"
"410349079332201","CR  SP22","SP","USGS",-79.55587958,41.0636743,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=410349079332201"
"414325079325501","WR SP135","SP","USGS",-79.53893919,41.72255946,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=414325079325501"
"410012079315301","CR  SP23","SP","USGS",-79.5311564,41.00339725,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=410012079315301"
"411722079303801","CR   SP8","SP","USGS",-79.5103249,41.28950589,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=411722079303801"
"410448079294901","CR  SP20","SP","USGS",-79.4967119,41.0800632,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=410448079294901"
"410903079294301","             SEEP-17","SP","USGS",-79.4950459,41.1508958,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=410903079294301"
"410909079294201","             DRAIN 1","SP","USGS",-79.4947681,41.15256248,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=410909079294201"
"410924079293701","             DRAIN 3","SP","USGS",-79.4933792,41.1567291,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=410924079293701"
"410927079293101","             DRAIN 4","SP","USGS",-79.4917125,41.15756245,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=410927079293101"
"410925079292801","             SEEP 3","SP","USGS",-79.4908792,41.1570069,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=410925079292801"
"410925079292701","             SEEP 4","SP","USGS",-79.49060138,41.1570069,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=410925079292701"
"410926079292401","             SEEP 16","SP","USGS",-79.489768,41.1572847,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=410926079292401"
"410925079292301","             SEEP 16A","SP","USGS",-79.4894902,41.1570069,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=410925079292301"
"410938079275801","CR  SP19-1","SP","USGS",-79.4658786,41.1606182,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=410938079275801"
"410939079254901","          Seep HC (haulroad channel)","SP","USGS",-79.4300445,41.1608963,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=410939079254901"
"410940079254801","          Seep HH (haulroad hillside)","SP","USGS",-79.4297667,41.1611741,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=410940079254801"
"413905079242501","WR SP121","SP","USGS",-79.4067142,41.6514496,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=413905079242501"
"413525079232501","FO   SP1","SP","USGS",-79.3900465,41.5903392,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=413525079232501"
"411334079232201","CR   SP6","SP","USGS",-79.3892109,41.22617388,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=411334079232201"
"411557079230801","CR  SP32","SP","USGS",-79.38532219,41.2658959,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=411557079230801"
"411633079224801","CR  SP35","SP","USGS",-79.3797666,41.27589595,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=411633079224801"
"411530079221701","CR  SP34","SP","USGS",-79.37115519,41.25839605,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=411530079221701"
"411537079215201","CR  SP33","SP","USGS",-79.3642106,41.26034057,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=411537079215201"
"411601079214301","CR  SP14","SP","USGS",-79.3617106,41.26700725,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=411601079214301"
