SiteNumber, SiteName, SiteCategory, SiteAgency, SiteLongitude, SiteLatitude, SiteNWISURL
"372835080352001"," Mnr-0077S (Rock Camp Spring)","SP","USGS",-80.5887778,37.47575,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=372835080352001"
"375430080350001"," Grb-0240S","SP","USGS",-80.5831374,37.90845259,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=375430080350001"
"375035080345001"," Grb-0231S","SP","USGS",-80.580358,37.8431755,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=375035080345001"
"375633080342501"," Grb-0246S","SP","USGS",-80.5734157,37.94261899,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=375633080342501"
"375025080342501"," Grb-0230S","SP","USGS",-80.5734132,37.8403978,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=375025080342501"
"375040080342001"," Grb-0232S","SP","USGS",-80.57202438,37.84456445,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=375040080342001"
"375025080332001"," Grb-0229S","SP","USGS",-80.555357,37.84039796,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=375025080332001"
"375300080331600"," Grb-0238(Sinking Creek at Alta Spring)","SP","USGS",-80.55424689,37.8834531,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=375300080331600"
"374805080331001"," Grb-0218S","SP","USGS",-80.5525782,37.80150948,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=374805080331001"
"374820080330001"," Grb-0220S","SP","USGS",-80.5498004,37.8056761,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=374820080330001"
"374525080324501"," Grb-0213S","SP","USGS",-80.5456325,37.7570655,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=374525080324501"
"375250080324001"," Grb-0237S","SP","USGS",-80.5442465,37.8806754,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=375250080324001"
"374325080323201"," Grb-0211S","SP","USGS",-80.54201989,37.7237326,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=374325080323201"
"373127080322401","Mnr-0438S (Willow Bend Spring)","SP","USGS",-80.5399722,37.52427778,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=373127080322401"
"373850080322001"," Mnr-0137S","SP","USGS",-80.53868299,37.64734467,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=373850080322001"
"373130080321501"," Mnr-0103S","SP","USGS",-80.5372885,37.52512395,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=373130080321501"
"374235080320501"," Grb-0210S","SP","USGS",-80.534519,37.70984395,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=374235080320501"
"373203080320101","Mnr-0437S (Virgil Dixon Spring)","SP","USGS",-80.5336944,37.53419444,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=373203080320101"
"375643080314501"," Grb-0248S","SP","USGS",-80.52896968,37.94539716,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=375643080314501"
"373005080312501"," Mnr-0086(Dropping Lick Spring)","SP","USGS",-80.5233978,37.50151329,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=373005080312501"
"374354080305301"," Grb-0300s","SP","USGS",-80.51463889,37.72928056,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=374354080305301"
"373905080304501"," Mnr-0138S","SP","USGS",-80.5122932,37.6515115,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=373905080304501"
"374938080301901"," Grb-0224S","SP","USGS",-80.5050771,37.8273429,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=374938080301901"
"374123080301601","Mnr-0168S","SP","USGS",-80.5044972,37.68968056,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=374123080301601"
"374955080294501"," Grb-0227S","SP","USGS",-80.4956325,37.83206517,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=374955080294501"
"374650080293501"," Grb-0216S","SP","USGS",-80.4928534,37.78067676,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=374650080293501"
"375310080292501"," Grb-0239(Head Spring)","SP","USGS",-80.490078,37.88623136,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=375310080292501"
"374958080292001"," Grb-0228S","SP","USGS",-80.4886879,37.8328985,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=374958080292001"
"375635080285501"," Grb-0247S","SP","USGS",-80.4817457,37.9431753,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=375635080285501"
"375042080285501"," Grb-0233S","SP","USGS",-80.48174348,37.84512066,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=375042080285501"
"373100080285501","Mnr-0099S (Turkey Creek Spring)","SP","USGS",-80.4815833,37.51777778,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=373100080285501"
"373135080284001"," Mnr-0104S","SP","USGS",-80.4775635,37.52651344,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=373135080284001"
